owner,countedBalance,originalBalance
GRDN5TZmbDqwp743hEG3vdmUram6VTxPFcCMZMcBa4cT,1935157529124,1935157529124
GXxWxq1YbjfNHYGZyvEyx4thDVfV4AG4CtDwhjyGuWqD,1269347677688,1269347677688
GbwteLchFbLVEbS7UzUvavQHavNtJxxiePKEcuGgaitS,623688374004,623688374004
GeVZJLUMi45Gru7NKjHQwqsYA7dGrtb4XZBWME3EHvu3,2000000628563,2000000628563
GnjUARqXzrCecVG6fwZ3bc322TZN435tR8Erjz4oKDM7,3732822360428,3732822360428
GovoTrxgDiFnFxJwfyhWLn4Bf9tZMrZfCkncYYetrKCv,3002312245897,3002312245897
GpZjTsejZEUCS3Wdy73qSapfj3JfZsaYPgkvwdVS4iPb,638752082682,638752082682
Gr5j1eW5VhkzcMy7ZwxsdaY7sFMsjgHcUKVvbESx7NKK,748360378168,748360378168
H321puLkRmVxB8HawQJtbsPr8fRTE6NErs4st23TcMMH,531571941558,531571941558
H6y2sV8h97ojPBh9WB3nvZuQBeLAM1GMoPozsXfYtwZE,2158319590574,2158319590574
H7n1Vy7geks1NwLJuMPgnkqXV7jVNqrtZWe8SBjFKLJe,2534818963138,2534818963138
HJALhXQhsBc1WidLMMbai9T6e6EqMCQBZRWCVtCq86C5,1628409695056,1628409695056
HLigeqdZoHcpCHixYGLHesm6PC6xU8RVDahjTYcj72ob,793896859127,793896859127
HTzFcW3pdcj81GhcHmuwTzrWrP6XvKciPRSoMih4Svh7,4000000000000,4000000000000
HUngge7SdtFbdJBMYijxEmbjaNWUY3R68hE1g8AtgtmJ,2992270651642,2992270651642
HV7oXC2madZuLPeU6hagsDQgH4UKBdmA9SAjGH8rUPpF,910696582259,910696582259
HaGSV5HLArqgxZEPwXc4QF7v3zguMgCbKunCXS4bfNAX,3000000000000,3000000000000
HbowFk3bd8edSU56vX3aphkT96erYxVqKrBzhznLTtGw,1390402037593,1390402037593
HhdEgxj2a3xxCLr7F5vggNEfiPdrkYJSXvo6ZP9X5Ck6,508933199908,508933199908
HjJQ9NMT8YeDBSdQ82xQyYjQcYcUEKor2KEApGBDsMGg,800000894238,800000894238
HrmZGuvXK87gatT8n2avUVTm2rSuBn5FNYbzDfcMdz6r,926485976267,926485976267
Hum8mi3R9qMrgpsQQaeahG9HLVD5Ugk75iLy6ek84RJ7,2099378406947,2099378406947
J2SnS2oy5ZRZG2srBGr7Vs9nVxJsWenH7HR5rsyZNSVa,8712011280126,8712011280126
J2oPXYW7MCRnH44FbfEQ4dvLowxjuimveAir2LPVFkkj,1078493809438,1078493809438
J4R8nEDGjau8pHHT8DetDJNxE5ByQfMpHLaaQCh3fAee,756635059114,756635059114
J52TPEmtsYpE53o3LGTFTpX1uNniCN9D2512LXRNQ6Sf,721641956297,721641956297
J5SBrWyKeqNNXFGWSW4um1gZFMDxXpDaX6oAZh1F2T1o,3122463570300,3122463570300
J6cNwo15gu5uTPWVfR1Jz3YPMe6VAGyZA2XDicNBudtF,845528766488,845528766488
J9TYAsWWidbrcZybmLSfrLzryANf4CgJBLdvwdGuC8MB,767872023406,767872023406
JC6RNWAYcgQWmw2eWz7kEVCRHWm17chmWhhqirQ25WaB,4769484166984,4769484166984
Nm9PVudMkJhqu53mjsdAn98kw3jKH3XePkF7MaNJQ37,940032384811,940032384811
NpF7EXreu4c3M4Zmdm87ED9pLyKyiC8xG8Je1UULnkM,10118339352676,10118339352676
RWpZ8Do8Cws9P631bzhjSFnM8RyTCVV9ibCEuCWJ7Fc,2266968446279,2266968446279
U2eqL9uqpBqMB8hdWpFmdtDZkHdhE7fmVx1RfnFqmn4,915451964081,915451964081
U5PhnhckY1BB2hYoqTsbRf4MpUrnozVPemX3TAjDqaE,12732535067144,14456951533533
XzRRpLhVJStg5u1yBCcgSafwFdZnrteH7GXYzXxZCFE,12732535067144,22096716516949
aJQ8DGKwykSxfh7uctN6fr6gqREEBu2o8xj5vhVpzdZ,500000000000,500000000000
eveKyPvjNRWzFd6K91MSFoEPD7ZQS6d3paLARpevgUr,717619133222,717619133222
isasWCkRe1L4to9WM5orL8FRLqssjT2qjjqM3ijquk9,764498411588,764498411588
kkMkb41UEnF1gio6S98Brcpmnc6KXA3u5iqn3hB7Ye1,1139544255840,1139544255840
