owner,countedBalance,originalBalance
5EYLwmjMVojqeJVwuTq47ixXs211e5pPwpVhSx4N41z,557480799488,557480799488
5MGvPrQy6ui4vFFdHp81JyVetXdhk5Sh2EvkYGe2Fgi3,6891008419682,6891008419682
5NvQY4Ve1w7MhueKVBkSXyCvtLtmJVhkfqXFn1cg1mEk,3170000000000,3170000000000
5WQqNReXvhqMSkApeJhYiPyGEPUSn6LmKGvM3JiqoUF3,12609047735537,12609047735537
5Yr3VTSruXvybPX329ysC17LrX6b2KYpwbwpfzzyT1yL,865457676084,865457676084
5dx76goRqoFsFQZTZjwgxYBdZyjkMji3f1xrxQJyfieH,2021096623053,2021096623053
5edaKxQeVZB3DRnXTjQs8TEqc3Y8REVLyWoSJFjGSgHR,1750000628562,1750000628562
5fzyDtS8sQbcjrN7pL3SjqdBm3QxceR6pF1NzinH9nUs,569244998487,569244998487
5qvYbR4XGNfRLUfDQNgL8mqB8q13A8JVbg1bDABgpEyJ,5000000000000,5000000000000
5y4zMDGpNkbX7hTFACdrs9PtpjAVLU4jk5PeMVyMWvjB,1500000000000,1500000000000
61FYdjqzHTwBUiyvAShKwNoTXrrR6u37P6sLCwpuCFvL,788339718289,788339718289
6CYZk2tPXq3GN2zpxWMmd26EseJ2WmXifb1oSgJvELZX,916063645753,916063645753
6GmcMs4mYB5MhfWpPcc7hSVdWDgQKf3ST1K4MrEk36my,8095997699858,8095997699858
6WC59CoGkp3xNykpEzQ3PAf6ycvmnLLhRkEZiXSWk36t,1018116482425,1018116482425
6XpoayPqAE99XfCPARDig3CwU6Mg7pMdrTCCbqVidZMV,3000015902186,3000015902186
6bQSN4d6anoTwnE6XDPGLA9RV8cqZPeNJro4iQUsWmso,12732535067144,14265951548067
6ck5SnPG2ZUoeEqXsNcDXQkXPxbkpj6xEKoSH5NUkXRV,932277045838,932277045838
6csJvpAqy4XQTqxpsXD51hUvYCntJktctXbwBFap2FwZ,750000000000,750000000000
6eJMJPwExUoiD7s7pvjg68vhKa4Uvse6CbxfZuhWyeLE,500000000000,500000000000
6hdW1u6hqHQwiavEZUBUN1mMmdmxvFtunwDhvFxUxUxV,2097699784323,2097699784323
6kQMwcihQghNT8nypoTC2N6DJCy8zxbQctHhhu746Jg9,3073616493740,3073616493740
6ma8vMM99YNj7MPAht87913XoG5qricmvaWJCnRxNPxW,11079280294497,11079280294497
6p3TmKmxGeq7xTu5WEjgNJuBVvJMdLPvo2CUsf229cXh,601135107587,601135107587
6pTWhbkyieLd4JCF82ZnQViefpfGbDA4GamJe9hkkNFn,4191779658767,4191779658767
6sefgkHxDzo3RppB64tj9eaQ8YtZutPzSAUUv9K8QGPv,500000000000,500000000000
6wR5QweWetcgWxZ6SYzBRo6XKtV6Y9t6oEouWSBqBZny,2802679524046,2802679524046
75HiLubKc7w9vaFtL3w5wA343rnVTd1k2fnS6shnYQ5u,903805092424,903805092424
75cFCuZQ947eBrmQbCk2qUGixBPHT76Ma7yABJt3kwBm,2191090747744,2191090747744
77vqkuJbCXQQgSFdFhU1eRbfyWSMYNBbAKhGAvk7oy6t,1946389295330,1946389295330
7Em2UHpXAfu19JjGjQ3YamSadrjmN4EG4gA6oeGbZJZz,3000000000000,3000000000000
7M8AbGDQDA9G9pYjGBw7SM39Pasky64ezTsRXSLbWgAx,1810394165769,1810394165769
7Mu3hdh3xaRFMhnhSTKpN8EmqvSamWcnNnvGsFizKhCg,1743270630104,1743270630104
7R4keryehxuhSktQTEH7zB1u2U6TLKdS8EP9D7uKQxfb,629060747690,629060747690
7RiVTKSGAoL1Jdj5mpcKW7e3zs6nAZGm3VuXRuUyDruS,2375000000000,2375000000000
7WXMbnR1Zk2pS8eKh7MbrqMZ119q1QGPCET3h7irS4jA,2757254885331,2757254885331
7Wm1AM8dgNDqmdaxiyRm3sigZP1b4ysu9WjXUevWYea4,1014071021397,1014071021397
7YbvWcW61NAguTg3HJ6JG5MNZrUn8FR1yDK2ENQ2X4v2,1061788964829,1061788964829
7YfHtiFYiA8gDbUBt6Qj6wks4kJeuATfAqpHsaQM338K,1262294849002,1262294849002
7ZJauBLvTZEwHFBwuhRG8THCAANrWWJidC5B9zZz1Yys,676112279940,676112279940
7bTCvR2NMZiSZgF1x3AoT8JGRFzLwpQfWRs6u6c9hmW,1897312526886,1897312526886
7ngMAbMZD24jXuJmYVhUjM8rLBuAeT9oM6pd8VafqY5a,2514504668837,2514504668837
