owner,balance
AhxzRPdizP8Dg52aJHrczQphEcsPv36QocHujrcPtarU,1089640915116
Au1GUWfcadx7jMzhsg6gHGUgViYJrnPfL1vbdqnvLK4i,978210597619
B1BKCShnRNw63fVkPmxH44jtBjYhL6zUQcPeSUfJ3cNZ,7076628877621
B8pF2FLxDq8Z5pGzWLTHq4DHf4gT156GmEXx4egnKyVd,3300028388419
BGApG7c57PPdDfBdeHQFQ9D2PD6TZTDze6gxCFydAe48,1200006085833
Bb7H8QK6CQsmkfrcA5vULesS1RmegWosgkrrYyd1UEpv,26072961634341
BgePMzgz3ahSvgqCioRVUUNB5aEKAHfn9VctZiwA9Vhe,500069809295
Bm5mwGjU5MAXZqtA5xUsedziAaWTS8w9eqDWTxGMYMYQ,12303345856410
Bq2RWav5LtfnAs8refzrYjfroDGK9vjYULmTqJX7yXfJ,2167683081567
BxLRTSYSTsypnx4yWvaQoURCPv4a7VzcDsSUM4eBVMSa,4350431811088
C1BRMDfsbW25FtFcUta81vuhgtZDSPmn1NENNf4akg9R,1545795475979
C1j61Hg8CQDEudPw4UJTAV7yRUQ33d8AgC3dqRtQu92N,1000001650522
C1roCAftE7vYubc3MeNNbryAyQNU4E9nihEwrJV2C483,990431708545
C7nWs22x7fCKVGxc1wU3yyG7zwa5sED3XqgwxVqm8ULk,1277383120558
C8XzHPYLiy6X8qDhe5cBocLEUEs4hdYDCha9i6Ex75Y3,979381759203
CRcheT7YEMRS6TzFEyxDEC8urw57YL4voiESdV2xkMv2,10018465747564
Cb4krsYnEoGfT7hcDsZrp4wiX2UPauKA5nKwEEu3m6uJ,841700603789
Ck3Aoerh7FmVN9G8FscUscV7t7LyEXtSKMbwmTRFHF5P,511219158970
CreQJ2t94QK5dsxUZGXfPJ8Nx7wA9LHr5chxjSMkbNft,4273642611770
CwMa649C1g1zNxEBQjuyD3rHyTH9cLRVoLVSUAtNUWpa,12098800907017
CyQMjdDttJAY7rGqSz1hoLzrj6yQVtyGcySzYJGWA2fZ,598815822854
D9uhxpc5uYvCTF4LHZUjp3Gt3UsG1V6BtB9h9pk2hjc7,603343420923
DEM2VDtjAmgMRpyw4qBMQM8QWMEr6DFvmoWxvdUkMieL,3970139563618
DRLs1jwiZRhMgr8UPmQ24tfGqfXzxGUWTGFN5VPmwEtL,1838256380669
DSFWxvJjgvLbVqoQ1Zwoe1iVHhwFgrfSiF3ZK1h7nd1K,4401522677826
DWjd65nVaCv16CF2VHdoZmZWGS6XSVq5R3nKeUMnnPRM,700000000000
DoazN4C8ijbPrXnG9ZnLMqgVPpLCHGDDWBEE7JrH5hra,712474047371
DrBjamqiet7iuryCD95dC2gY6yqwfB6B2rvRsTubMJf7,2334348300972
Dtd2cDkh2uKfHpcdJfwuKoFYXRRXs2YAK9P46wxXGceb,2000018727062
E5gxHm2VYxBhSLiQevBucQrGAgk74oRFa5wsiMFDDSMr,2230018076805
EKTPg1SSZgXNskhWCXbD33Ccu7SdGi4pxCTzqW8x3j1a,1051360400842
Eb71c6ABPQGkYkrDrHQzHbfXaKuj91Qr3WEFJhSu5fmk,1043932481415
Egy3Dy35niWx5fCa3bgdGtnei5w7KFAfXWYCyoyuSKdt,921272760327
EiiAnQsfcruxHFkDabAmH4gzqLUZoEVwRuqEFQGP11xw,3898619208370
EvUMWEsN5b2zPJABjfwkMENUYJzbXvyuDGENk72Rs5zy,3957582547095
FFDAamfSQpoKsUKMjzt6rvzLAUQKfnSPFnBZQyZk8HWM,2900029711159
FNidxJ3Hwo2AV1dC12iUFxryvv3ubLREoUPM3rToaMg,5000067357439
FTXpq4CXg6SXkBcqRn3S2brctXAmt3WNusM52RbGBGMf,519781228684
FVQ9tMDxguSAvjN2YNTxbMXgv11CtRzWfX8aYRtquVqT,658773004919
